Zeit in ms, Spannung in Einheitslos
1809635445,40
1809733529,37
1810110745,37
1810237542,40
1810318403,37
1810401844,36
1810474768,33
1810572089,35
1810646110,33
1810716270,40
1810790086,47
1810849150,56
1813732461,59
1813817001,60
1813884606,56
1813948848,56
1814035713,53
1814120129,50
1814184084,46
1814243429,43
1814303201,49
1814380062,48
1814453665,41
1814514117,36
1817916584,33
1817997140,33
1818106571,32
1818183303,30
1818238603,30
1818288928,27
1818402098,27
1818476448,26
1818550249,25
1818628463,24
1818708635,22
1818789287,22
1821990761,20
1822071171,22
1822135522,22
1822197550,21
1822259394,21
1822321701,24
1822379868,30
1822440534,38
1822506419,46
1822569311,48
1822655093,45
1822789755,43
1826007447,41
1826101230,41
1826237499,37
1826298246,37
1826364882,33
1826434315,37
1826495103,38
1826575452,38
1826649776,35
1826714011,37
1826802605,37
1826878389,37
1830112741,35
1830183286,33
1830245870,32
1830328143,30
1830412100,29
1830475684,28
1830538565,25
1830608842,26
1830680205,23
1830739414,28
1830827300,26
1830885073,28
1834283844,27
1834346142,27
1834412487,30
1834481343,35
1834555011,38
1834626813,38
1834703383,37
1834780612,33
1834857340,34
1834932765,38
1835016590,37
1835104885,36
1838210084,35
1838291087,32
1838368812,37
1838454285,37
1838535710,37
1838620569,37
1838684522,38
1838751915,35
1838829073,36
1838908007,36
1838990198,33
1839079729,33
1842399134,34
1842515106,33
1842580162,35
1842640078,38
1842708731,39
1842767306,51
1842841003,58
1842896319,58
1842951199,59
1843009008,56
1843079455,56
1843134810,53
1846493187,50
1846619400,47
1846717686,36
1846784536,33
1846863446,30
1846940557,31
1847026315,30
1847124749,30
1847228636,29
1847315299,29
1847375341,27
1847448097,27
1850584936,26
1850653389,26
1850720297,24
1850788315,25
1850858718,24
1850930542,23
1851007077,27
1851112865,29
1851193152,31
1851272906,31
1851348898,35
1851428884,39
1854661650,43
1854744755,43
1854829896,42
1854903678,40
1854974945,40
1855060521,41
1855145589,37
1855211962,38
1855282404,35
1855347805,35
1855427640,33
1855505202,31
1855587355,28
1858861851,34
1858918877,33
1858990127,33
1859079640,31
1859151435,32
1859233410,31
1859314084,32
1859391896,33
1859452670,32
1859502881,30
1859572554,31
1859641487,30
1862873964,28
1862942893,29
1863004268,29
1863096691,28
1863154440,31
1863223380,33
1863283997,35
1863346228,36
1863418860,37
1863485709,37
1863543217,38
1863601261,36
1866972781,37
1867018501,37
1867073223,37
1867114951,35
1867164560,34
1867211364,34
1867257866,31
1867303685,30
1867352185,31
1867419681,33
1867488851,35
1867555707,35
1871057856,35
1871109425,35
1871177401,35
1871244586,35
1871311334,33
1871383990,32
1871451100,35
1871517890,33
1871584903,32
1871651639,31
1871826447,33
1871901802,33
1875145300,41
1875226329,43
1875302454,44
1875366206,44
1875426743,44
1875486962,45
1875548267,44
1875607227,43
1875677075,43
1875742657,41
1875816003,37
1875899580,35
1879264414,34
1879353454,37
1879422059,37
1879509195,37
1879592393,37
1879679812,37
1879769989,36
1879857556,36
1879939111,36
1880027693,34
1880122988,34
1880208342,31
1883460065,30
1883512636,29
1883582351,26
1883646331,26
1883722842,27
1883801301,24
1883879534,28
1883954375,26
1884034581,28
1884121703,31
1884181408,34
1884239310,31
1887521894,36
1887570784,34
1887639611,35
1887716891,36
1887798303,35
1887875528,36
1887952596,35
1888029867,33
1888120659,31
1888200580,32
1888278616,33
1888358993,31
1891526838,33
1891595407,36
1891661330,36
1891730757,35
1891798599,33
1891866029,34
1891934201,34
1892001215,33
1892088431,33
1892157905,32
1892227049,30
1892299477,28
1895702466,28
1895794506,26
1895880394,24
1895946108,28
1896023668,33
1896109591,33
1896169870,33
1896227846,36
1896296392,35
1896363582,37
1896441897,37
1896516213,37
1899868716,34
1899972784,35
1900042116,34
1900105880,34
1900158143,30
1900215541,29
1900254345,30
1900302196,29
1900348392,31
1900422125,32
1900499014,33
1900572630,33
1903929399,33
1904010187,32
1904095520,34
1904169590,34
1904247030,34
1904311848,35
1904383229,34
1904459600,33
1904533833,30
1904612663,31
1904687743,32
1904765418,34
1908095860,38
1908162295,39
1908201821,44
1908240564,42
1908278770,42
1908316812,43
1908386124,46
1908467136,43
1908548266,41
1908633355,40
1908699102,37
1908759807,37
1912014997,34
1912103714,38
1912167487,38
1912245036,37
1912877586,38
1912975988,38
1913103987,39
1913195562,38
1913303054,35
1913383354,36
1913472204,33
1913559408,32
1916179531,31
1916225898,30
1916265812,29
1916304482,26
1916342264,24
1916382494,29
1916432592,28
1916478941,27
1916548342,28
1916615110,26
1916682206,26
1916749105,25
1920173854,29
1920241720,31
1920284066,29
1920340153,30
1920396003,33
1920450264,31
1920520622,30
1920596529,30
1920673525,32
1920749578,29
1920825751,31
1920907355,29
1924425216,37
1924494444,38
1924543050,38
1924593038,39
1924674004,39
1924752012,36
1924828630,37
1924897954,35
1924973946,33
1925061227,33
1925131112,32
1925188883,30
1928391243,30
1928462836,27
1928525077,25
1928582357,25
1928642033,28
1928702685,30
1928761565,27
1928819099,29
1928889279,31
1928948304,30
1929009167,34
1929081994,35
1932602510,35
1932682599,36
1932751054,32
1932830718,34
1932906540,32
1932984910,31
1933075282,31
1933154385,28
1933233721,31
1933312082,33
1933390733,38
1933469302,38
1936633864,39
1936686912,39
1936751074,40
1936824568,35
1936905336,37
1936980649,34
1937071234,34
1937143877,33
1937203637,31
1937270674,30
1937332638,30
1937405462,35
1940798672,48
1940863384,63
1940925722,67
1940998410,65
1941100282,66
1941182165,63
1941268072,60
1941354603,56
1941433473,41
1941513457,33
1941592823,26
1941671553,24
1944905725,24
1944984524,23
1945040608,22
1945108966,22
1945164173,22
1945217700,19
1945271877,21
1945328220,17
1945384460,19
1945441808,18
1945507451,20
1945568260,20
1949530600,28
1949652016,32
1949737521,33
1949802513,33
1949900591,32
1949984567,29
1950090007,28
1950177245,35
1950266786,44
1950358245,43
1950432556,42
1950523430,45
1952914596,43
1952992920,42
1953078798,39
1953132765,39
1953180810,37
1953248308,35
1953315306,35
1953388203,33
1953459128,31
1953523519,32
1953591012,34
1953667522,32
1957088926,33
1957150918,33
1957219517,34
1957287117,32
1957354865,31
1957422352,28
1957489405,30
1957556240,29
1957623049,25
1957690294,26
1957757704,25
1957825049,23
1961127147,28
1961243398,28
1961301688,28
1961356899,31
1961412926,30
1961468859,33
1961523928,37
1961579636,35
1961637644,36
1961693556,35
1961749650,37
1961804313,38
1961859575,36
1965367648,37
1965443050,35
1965509863,36
1965587865,32
1965657783,30
1965724842,28
1965798737,32
1965878227,33
1965959162,32
1966038278,32
1966131884,31
1966192069,31
1969449401,31
1969494120,33
1969559619,32
1969635796,34
1969706365,34
1969773145,34
1969838788,35
1969915981,34
1969992708,35
1970089370,40
1970167078,42
1970244540,47
1973467192,47
1973563922,48
1973633426,46
1973711202,46
1973784246,45
1973855391,44
1973930372,42
1974006922,41
1974102075,37
1974180967,36
1974256313,33
1974333203,39
1977610863,40
1977679182,39
1977735884,38
1977793774,36
1977849294,35
1977904307,35
1977962923,34
1978026223,33
1978099451,31
1978156995,31
1978213696,28
1978270261,28
1981869185,25
1981974612,26
1982038517,23
1982127995,25
1982206751,25
1982283183,25
1982370746,23
1982449962,24
1982528502,25
1982609351,26
1982684345,29
1982764602,33
1985706768,34
1985761462,34
1985814720,33
1985853334,33
1985891819,36
1985968090,35
1986060576,31
1986124618,32
1986165335,31
1986243761,33
1986319746,33
1986397041,36
1989809738,33
1989893317,32
1989959922,31
1990055731,32
