Zeit in ms, Spannung in Einheitslos
1918750,10
1986712,11
2053850,11
2134382,11
2202144,12
2293015,13
2360616,14
2433637,14
2504600,14
2577164,12
2649767,14
2723576,14
2797402,13
2856770,14
2913498,14
2967792,14
3034186,12
3117588,13
3188349,13
3245362,9
3319742,11
3381033,8
3456078,9
3512879,8
3570944,9
3626279,9
3695871,10
3750947,9
3808214,6
3861522,8
3919233,8
3974311,8
4029132,7
4081453,6
1694076219,13
1694630527,12
1695055278,11
1695559721,14
1696054767,11
1696603575,15
1696989640,16
1697361185,14
1697856200,17
1698337063,18
1698731364,18
1699097550,20
1699579327,19
1699887593,21
1700168905,22
1700473599,21
1700994853,22
1701588150,23
1702078905,23
1702964882,22
1703474084,21
1703930344,19
1704473343,20
1704863614,20
1705250267,20
1705691082,19
1706176134,19
1706622654,14
1707009663,14
1707380333,15
1707804468,16
1708188002,16
1708660529,15
1709113569,14
1709592681,15
1710140495,14
1710624924,14
1710979083,16
1711358000,14
1711789854,14
1712168611,15
1712609073,14
1712961534,15
1713306904,16
1713737569,14
1714216484,13
1714639083,15
1715014256,13
1715381942,12
1715804087,13
1716172585,12
1716630387,11
1717079941,11
1717519278,10
1717845592,10
1717990156,7
1718200800,9
1718355609,6
1718532622,7
1718683297,8
1718827113,6
1718965698,5
1719105465,5
1719254999,4
1719410193,3
1719608021,4
1719815147,2
1719970252,3
1720126125,2
1720283076,1
1720445230,0
1720600797,0
1720758371,0
1720910158,0
1721067618,0
1721213359,0
1721370378,0
1721555576,0
1721707928,0
1721880899,0
1722052108,0
1722273274,0
1722477227,0
1722643091,0
1722798587,0
1722926276,0
1723026167,0
1723121293,0
1723213471,0
1723305433,0
1723407665,3
1723523149,4
1723629311,6
1723727827,5
1723825873,6
1723924795,7
1724020384,7
1724122284,8
1724224737,8
1724323409,8
1724459888,9
1724565030,9
1724688868,12
1724811544,12
1724939227,11
1725068709,12
1725193882,11
1726582788,12
1726752551,12
1726879390,11
1727015720,10
1727152356,11
1727287227,9
1727462832,11
1727611844,12
1727740320,10
1727866992,9
1727974685,10
1728074912,12
1730499953,10
1730631705,11
1730732804,10
1730830763,8
1730917379,9
1730994919,9
1731066007,8
1731140917,6
1731225652,6
1731323792,6
1731410848,7
1731539300,6
1731634680,5
1731734264,3
1731829204,6
1731923304,3
1734715668,5
1734881089,3
1735060706,3
1735209680,6
1735354072,4
1735541166,5
1735730754,3
1735913404,3
1736058818,3
1736197664,2
1736357908,1
1736542631,2
1736842736,2
1737076008,1
1737254851,1
1737413043,2
1738825112,0
1738997963,0
1739146952,0
1739251565,0
1739377332,0
1739532850,0
1739674602,1
1739780783,0
1739916959,0
1740038088,0
1740220313,0
1740399841,0
1740573302,0
1740711678,0
1740881071,0
1741031435,0
1742902269,0
1743008688,0
1743106912,0
1743204919,0
1743308270,0
1743411302,0
1743535656,0
1743635645,0
1743745330,0
1743835032,0
1743937846,0
1744032676,1
1744138382,0
1744258609,2
1744363321,1
1744491143,3
1746853224,1
1746937630,2
1747007458,1
1747078898,0
1747152187,4
1747232409,3
1747307876,4
1747380517,7
1747470630,8
1747542475,6
1747615483,8
1747686079,9
1747781643,12
1747871460,13
1747960875,12
1750945743,13
1751037922,14
1751099350,13
1751156006,14
1751243268,13
1751330568,12
1751454691,13
1751572804,12
1751682780,16
1751793921,14
1751908811,15
1752001155,14
1755058000,15
1755143250,14
1755221532,12
1755295995,13
1755378590,13
1755481110,14
1755564706,15
1755767474,15
1755852511,18
1755935776,19
1756018815,18
1756101547,19
1759149244,21
1759232385,21
1759309042,22
1759396594,21
1759496650,21
1759586727,20
1759675443,18
1759765052,19
1759855781,18
1759949255,17
1760045408,17
1760144656,16
1763271574,15
1763330911,15
1763392401,11
1763469031,11
1763548258,11
1763619587,12
1763701723,10
1763769817,9
1763848504,10
1763937654,9
1764001127,9
1764049731,8
1764096691,7
1767325785,7
1767401594,6
1767456370,4
1767495780,0
1767527305,0
1767564827,0
1767596133,0
1767639332,0
1767682508,0
1767734160,0
1767787308,0
1767839011,0
1767894199,4
1767945568,3
1767997909,2
1768047814,2
1771372520,1
1771462565,1
1771512971,0
1771559669,0
1771605898,0
1771651986,0
1771697771,0
1771747279,0
1771796476,0
1771846280,0
1771897520,0
1771947468,0
1771995062,0
1772042728,0
1772090773,0
1772139049,0
1775534849,0
1775616680,0
1775658963,0
1775698458,0
1775738882,0
1775778747,0
1775818294,0
1775858880,0
1775901340,0
1775951777,0
1776009951,0
1776065180,0
1776120246,0
1776172790,0
1776245705,0
1776328258,0
1779578822,0
1779627339,0
1779667794,0
1779703739,0
1779737387,0
1779785310,0
1779834702,0
1779882507,0
1779930397,0
1779977745,0
1780024988,0
1780072379,0
1780127659,0
1780175496,0
1780222828,0
1780270141,0
1783589663,0
1783634979,0
1783671569,0
1783707380,0
1783743506,0
1783778574,0
1783826919,0
1783874770,0
1783922027,0
1783969279,0
1784018319,0
1784065553,0
1784112656,0
1784159947,0
1784207052,0
1784254238,0
1784301544,0
1787794131,0
1787866021,0
1787925199,0
1787973153,0
1788027205,0
1788079244,0
1788137417,0
1788193126,0
1788245202,0
1788299671,0
1788357358,0
1788406018,0
1788469538,0
1788520541,0
1788565847,0
1788622386,0
1791891464,0
1791957119,0
1792018294,0
1792059196,0
1792114379,0
1792170710,0
1792228263,0
1792283013,0
1792337269,0
1792391073,0
1792451368,0
1792490573,0
1792529838,0
1792573016,0
1792614017,0
1792666900,0
1795992679,0
1796047540,0
1796097881,0
1796149256,0
1796198740,0
1796255090,0
1796310898,0
1796371938,0
1796441702,1
1796497454,0
1796550621,0
1796613237,0
1796666551,0
1796721313,0
1796774335,0
1796826867,0
1800006607,0
1800059287,0
1800102048,0
1800144210,0
1800196676,0
1800239474,0
1800283919,0
1800328617,0
1800379034,0
1800431568,0
1800490675,0
1800547353,0
1800603982,0
1800668606,0
1800725272,0
1800781199,0
1804187073,0
1804244220,0
1804295387,0
1804361634,0
1804414107,0
1804472936,0
1804531278,0
1804589361,0
1804649874,0
1804710215,0
1804766332,0
1804826218,0
1804885369,0
1804948270,0
1805013095,0
1805080185,0
1808234109,0
1808294040,0
1808334088,0
1808378176,0
1808438147,0
1808500094,0
1808555871,0
1808608814,0
1808676253,0
1808727670,0
1808787206,0
1808844138,0
1808902255,0
1808956726,0
1809006058,0
1809052574,0
1812407816,0
1812472168,0
1812501442,0
1812545417,0
1812574541,0
1812621141,0
1812657240,0
1812693783,0
1812736697,0
1812774413,0
1812808052,0
1812874057,0
1812926539,0
1812981225,0
1813037454,0
1813089504,0
1816380803,0
1816447684,0
1816506836,0
1816564777,2
1816610374,3
1816658415,3
1816700325,2
1816746689,2
1816802768,2
1816858164,0
1816914094,1
1816968480,0
1817024246,0
1817079355,0
1817132742,0
1817187217,0
1820550122,0
1820607062,0
1820657068,0
1820702887,0
1820747491,0
1820794418,0
1820848275,0
1820890254,0
1820935014,0
1820982081,0
1821028905,0
1821076222,0
1821122901,0
1821168434,0
1821210779,0
1821257433,0
1824634948,0
1824700772,0
1824746999,0
1824794793,0
1824850165,0
1824903831,0
1824954445,0
1825002837,0
1825051036,0
1825102897,0
1825152110,3
1825201543,6
1825253157,7
1825332586,6
1825382218,7
1825451412,6
1828872086,5
1828925507,4
1828974245,4
1829022347,2
1829070527,3
1829118522,1
1829166025,1
1829213421,2
1829260781,1
1829308228,0
1829365834,0
1829413732,0
1829480536,0
1829529215,0
1829576811,0
1829624924,0
1832829992,0
1832870416,0
1832923020,0
1832970476,0
1833024928,0
1833077002,0
1833133245,0
1833188853,0
1833244492,0
1833298712,1
1833352715,1
1833406078,1
1833470968,2
1833524414,3
1833578513,1
1833632636,3
1836915002,2
1836979872,3
1837022214,5
1837062295,4
1837105953,4
1837145761,5
1837185930,5
1837224849,6
1837265686,8
1837308572,9
1837348226,9
1837387733,8
1837439160,9
1837499626,8
1837541245,8
1837585750,9
1841013214,9
1841086453,9
1841167775,10
1841231967,12
1841292366,11
1841350929,13
1841452663,13
1841528180,14
1841596488,15
1841659754,14
1841726540,15
1841797810,15
1841863970,17
1845693232,16
1846125058,17
1846642887,17
1846977562,19
1847590265,18
1848082384,16
1848532296,17
1849063349,16
1849611248,17
1849995232,16
1850312332,16
1850731222,14
1851104469,15
1851582676,15
1851958555,14
1852328308,14
1852742037,13
1853109404,14
1853652207,13
1854096991,14
1854683424,13
1855124740,14
1855680412,15
1856343470,14
1857082268,14
1857766764,12
1858344713,12
1858965921,13
1859512813,13
1860066765,14
1860691598,16
1861280421,18
1862006813,18
1862601818,17
1862930133,18
1863151240,20
1863368464,19
1864492436,16
1864874589,14
1865408266,15
1865996604,16
1866493895,13
1866976661,15
1867376117,15
1867888772,13
1868399569,11
1868883375,14
1869325157,12
1869985766,10
1870479287,11
1870937702,12
1871408012,10
1871924289,11
1872887098,11
1873468109,11
1874049903,10
1874478473,8
1874985956,10
1875368517,7
1875804188,8
1876205483,6
1876660254,5
1877009760,5
1877296118,5
1877685477,6
1878147523,6
1878570944,6
1878946564,3
1879281231,5
1879654656,4
1880046707,3
1880474861,2
1880840428,2
1881182420,4
1881640466,1
1882127465,1
1882581028,3
1882975686,2
1883384631,1
1883818927,2
1884216420,2
1884707347,1
1885109575,1
1885571638,3
1886024223,3
1886356856,3
1886774657,3
1887102540,6
1887561383,6
1887958196,6
1888400469,7
1888819317,9
1889116831,8
1889669480,10
1890168276,9
1890566056,9
1891032474,10
1891578759,10
1892090924,13
1892624438,14
1893109162,11
1893652564,12
1894044740,9
1895088738,9
1895621765,11
1896031502,10
1896666758,10
1897214048,10
1897670517,12
1898182146,14
1898819258,14
1899269900,13
1899843084,16
1900265474,15
1900793268,19
1901206799,20
1901780048,21
1902271844,22
1902925429,22
1903372229,23
1903891359,23
1905560058,24
1906568870,21
1907075102,21
1907540459,21
1908017950,20
1908539391,20
1908978725,19
1909405034,16
1909974696,17
1910400483,15
1911032882,14
1912255893,16
1912797671,12
1913228842,12
1913728162,12
1914094802,11
1914539056,11
1915010507,11
1915530773,10
1915943949,9
1916537496,10
1917007212,10
1917353668,9
1917873747,11
1918236906,8
1918643118,9
1919112122,9
1919567268,8
1919982453,9
1920368545,9
1920796535,8
1921194428,8
1921640923,7
1922035186,7
1922411306,7
1922797756,7
1923012215,6
1923179249,7
1923334689,6
1923595431,8
1923799858,7
1924018901,10
1924208644,11
1924404712,13
1924643905,11
