Index,Wert
533,35.0
534,29.0
535,27.0
536,27.0
537,26.0
538,39.0
539,32.0
540,34.0
541,38.0
542,32.0
543,28.0
544,31.0
545,32.0
546,22.0
547,27.0
548,29.0
549,23.0
550,25.0
551,27.0
552,39.0
553,37.0
554,37.0
555,26.0
556,21.0
557,39.0
558,50.0
559,53.0
560,53.0
561,53.0
562,45.0
563,45.0
564,47.0
565,42.0
566,41.0
567,41.0
568,39.0
569,32.0
570,36.0
571,27.0
572,27.0
573,21.0
574,22.0
575,33.0
576,25.0
577,23.0
578,26.0
579,34.0
580,32.0
581,47.0
582,43.0
583,41.0
584,32.0
585,22.0
586,29.0
587,26.0
588,26.0
589,30.0
590,27.0
591,19.0
592,17.0
593,22.0
594,38.0
595,29.0
596,24.0
597,36.0
598,39.0
599,29.0
600,38.0
601,43.0
602,42.0
603,36.0
604,29.0
605,21.0
606,40.0
607,31.0
608,32.0
609,38.0
610,34.0
611,30.0
612,23.0
613,31.0
614,56.0
615,49.0
616,45.0
617,42.0
618,48.0
619,46.0
620,45.0
621,44.0
622,36.0
623,34.0
624,33.0
625,39.0
626,47.0
627,40.0
628,44.0
629,52.0
630,52.0
631,55.0
632,53.0
633,52.0
634,52.0
635,52.0
636,52.0
637,57.0
638,52.0
639,48.0
640,37.0
641,47.0
642,46.0
643,46.0
644,52.0
645,46.0
646,45.0
647,49.0
648,51.0
649,50.0
650,48.0
651,40.0
652,43.0
653,38.0
654,29.0
655,30.0
656,28.0
657,25.0
658,54.0
659,40.0
660,37.0
661,37.0
662,35.0
663,36.0
664,33.0
665,23.0
666,29.0
667,21.0
668,23.0
669,15.0
670,27.0
671,23.0
672,19.0
673,22.0
674,38.0
675,32.0
676,28.0
677,39.0
678,35.0
679,32.0
680,28.0
681,27.0
682,29.0
683,44.0
684,39.0
685,39.0
686,34.0
687,27.0
688,34.0
689,53.0
690,58.0
691,44.0
692,40.0
693,39.0
694,38.0
695,37.0
696,53.0
697,53.0
698,47.0
699,49.0
700,53.0
701,46.0
702,45.0
703,44.0
704,44.0
705,40.0
706,47.0
707,36.0
708,29.0
709,38.0
710,50.0
711,48.0
712,56.0
713,56.0
714,56.0
715,47.0
716,48.0
717,48.0
718,48.0
719,47.0
720,50.0
721,46.0
722,52.0
723,52.0
724,52.0
725,55.0
726,49.0
727,45.0
728,49.0
729,53.0
730,55.0
731,50.0
732,51.0
733,50.0
734,49.0
735,42.0
736,41.0
737,37.0
738,31.0
739,23.0
740,26.0
741,24.0
742,32.0
743,26.0
744,19.0
745,43.0
746,52.0
747,46.0
748,40.0
749,50.0
750,44.0
751,37.0
752,34.0
753,30.0
754,31.0
755,42.0
756,37.0
757,30.0
758,30.0
759,24.0
760,32.0
761,38.0
762,42.0
763,46.0
764,38.0
765,27.0
766,28.0
767,27.0
768,32.0
769,32.0
770,37.0
771,41.0
772,32.0
773,25.0
774,33.0
775,34.0
776,38.0
777,37.0
778,38.0
779,35.0
780,29.0
781,34.0
782,50.0
783,57.0
784,56.0
785,58.0
786,58.0
787,55.0
788,49.0
789,57.0
790,53.0
791,46.0
792,46.0
793,40.0
794,39.0
795,37.0
796,33.0
797,41.0
798,40.0
799,39.0
800,42.0
801,47.0
802,58.0
803,56.0
804,49.0
805,47.0
806,53.0
807,53.0
808,52.0
809,54.0
810,46.0
811,42.0
812,45.0
813,45.0
814,46.0
815,46.0
816,45.0
817,49.0
818,56.0
819,54.0
820,53.0
821,43.0
822,49.0
823,54.0
824,56.0
825,55.0
826,51.0
827,48.0
828,48.0
829,47.0
830,45.0
831,42.0
832,36.0
833,34.0
834,31.0
835,28.0
836,17.0
837,26.0
838,18.0
839,25.0
840,23.0
841,47.0
842,42.0
843,47.0
844,45.0
845,45.0
846,53.0
847,50.0
848,47.0
849,39.0
850,30.0
851,29.0
852,26.0
853,22.0
854,43.0
855,33.0
856,30.0
857,37.0
858,54.0
859,53.0
860,43.0
861,35.0
862,37.0
863,32.0
864,27.0
865,24.0
866,24.0
867,18.0
868,21.0
869,26.0
870,23.0
871,29.0
872,34.0
873,29.0
874,32.0
875,32.0
876,38.0
877,32.0
878,42.0
879,44.0
880,40.0
881,36.0
882,35.0
883,51.0
884,53.0
885,45.0
886,42.0
887,40.0
888,42.0
889,36.0
890,29.0
891,25.0
892,23.0
893,25.0
894,59.0
895,48.0
896,43.0
897,40.0
898,41.0
899,32.0
900,36.0
901,40.0
902,42.0
903,38.0
904,43.0
905,38.0
906,27.0
907,25.0
908,29.0
909,23.0
910,29.0
911,18.0
912,32.0
913,42.0
914,38.0
915,31.0
916,38.0
917,31.0
918,26.0
919,38.0
920,38.0
921,43.0
922,45.0
923,44.0
924,41.0
925,29.0
926,27.0
927,35.0
928,29.0
929,41.0
930,36.0
931,35.0
932,36.0
933,34.0
934,53.0
935,55.0
936,55.0
937,50.0
938,46.0
939,54.0
940,52.0
941,43.0
942,47.0
943,43.0
944,38.0
945,39.0
946,43.0
947,49.0
948,48.0
949,40.0
950,46.0
951,50.0
952,52.0
953,54.0
954,55.0
955,53.0
956,54.0
957,55.0
958,49.0
959,46.0
960,46.0
961,47.0
962,49.0
963,49.0
964,47.0
965,52.0
966,54.0
967,49.0
968,46.0
969,38.0
970,45.0
971,41.0
972,32.0
973,30.0
974,27.0
975,24.0
976,48.0
977,39.0
978,42.0
979,41.0
980,36.0
981,29.0
982,28.0
983,43.0
984,39.0
985,44.0
986,40.0
987,25.0
988,28.0
989,33.0
990,24.0
991,23.0
992,18.0
993,33.0
994,28.0
995,29.0
996,40.0
997,37.0
998,33.0
999,27.0
1000,33.0
1001,35.0
1002,35.0
1003,47.0
1004,41.0
1005,29.0
1006,31.0
1007,37.0
1008,34.0
1009,36.0
1010,52.0
1011,46.0
1012,41.0
1013,34.0
1014,30.0
1015,40.0
1016,46.0
1017,44.0
1018,49.0
1019,49.0
1020,50.0
1021,47.0
1022,50.0
1023,57.0
1024,49.0
1025,42.0
1026,44.0
1027,40.0
1028,43.0
1029,57.0
1030,58.0
1031,50.0
1032,46.0
1033,48.0
1034,51.0
1035,53.0
1036,53.0
1037,50.0
1038,56.0
1039,56.0
1040,55.0
1041,56.0
1042,52.0
1043,57.0
1044,54.0
1045,50.0
1046,50.0
1047,50.0
1048,48.0
1049,43.0
1050,39.0
1051,28.0
1052,26.0
1053,31.0
1054,29.0
1055,38.0
1056,37.0
1057,29.0
1058,24.0
1059,49.0
1060,45.0
1061,42.0
1062,34.0
1063,34.0
1064,26.0
1065,32.0
1066,34.0
1067,34.0
1068,29.0
1069,29.0
1070,49.0
1071,49.0
1072,55.0
1073,52.0
1074,50.0
1075,48.0
1076,51.0
1077,56.0
1078,49.0
1079,53.0
1080,52.0
1081,43.0
1082,44.0
1083,41.0
1084,39.0
1085,30.0
1086,33.0
1087,38.0
1088,34.0
1089,36.0
1090,34.0
1091,26.0
1092,48.0
1093,48.0
1094,38.0
1095,41.0
1096,46.0
1097,49.0
1098,50.0
1099,48.0
1100,52.0
1101,48.0
1102,43.0
1103,35.0
1104,32.0
1105,44.0
1106,42.0
1107,41.0
1108,49.0
1109,46.0
1110,42.0
1111,47.0
1112,50.0
1113,49.0
1114,53.0
1115,55.0
1116,49.0
1117,44.0
1118,39.0
1119,50.0
1120,59.0
1121,52.0
1122,50.0
1123,46.0
1124,51.0
1125,55.0
1126,52.0
1127,52.0
1128,52.0
1129,49.0
1130,51.0
1131,58.0
1132,53.0
1133,49.0
1134,48.0
1135,48.0
1136,45.0
1137,39.0
1138,38.0
1139,35.0
1140,28.0
1141,32.0
1142,47.0
1143,46.0
1144,46.0
1145,36.0
1146,32.0
1147,22.0
1148,52.0
1149,51.0
1150,47.0
1151,46.0
1152,55.0
1153,47.0
1154,45.0
1155,46.0
1156,35.0
1157,30.0
1158,30.0
1159,38.0
1160,30.0
1161,26.0
1162,34.0
1163,27.0
1164,47.0
1165,50.0
1166,49.0
1167,41.0
1168,38.0
1169,36.0
1170,30.0
1171,36.0
1172,40.0
1173,42.0
1174,40.0
